section_id,section_name,capacity_level,section_weight,section_max_points,q_order,question_text,hint,question_type,opt_a,opt_b,opt_c,opt_d,opt_e,score_a,score_b,score_c,score_d,score_e,is_required,is_active
S02,Strategic capacity,strategic,30%,35,5,Is your business fully registered with a valid business license?,,mcq,Yes — fully registered as an LLC or similar with a valid license,Yes — registered but license is expired or pending renewal,Partially — registration is in progress,No — the business is not formally registered,,5,3,2,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,6,Has your business been profitable in the last two years?,If COVID significantly affected your business reflect on the two years before that period,mcq,Yes — profitable in both of the last two years,Yes — profitable in one of the last two years,We broke even — neither profit nor loss,No — we have been operating at a loss,,5,3,2,0,0,Yes,Yes
S02,Strategic capacity,strategic,30%,35,7,Overall management capability — which description best fits your business?,Rate 1–5 based on current management team capability,scale,1 — Managerial workforce with limited skills and no clear vision,2 — Limited skills but some understanding of vision and growth plans,"3 — Some skills, understands vision, may need support to implement","4 — Strong team, articulates vision, limited support needed",5 — Excellent team with full capability to implement growth plans independently,1,2,3,4,5,Yes,Yes
S03,Operational capacity,operational,45%,40,1,Are your production or service delivery levels running above 75% of your capacity?,"i.e. you are using most of your available equipment, staff time, and facilities",mcq,Yes — consistently operating above 75% capacity,Around 50–75% of capacity,Below 50% of capacity,We have never measured this,,5,3,1,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,2,Does your business have a quality management or quality assurance system?,Includes any documented processes to check and maintain quality of products/services,mcq,Yes — a formal QA system with written documentation and regular checks,Yes — informal quality checks that staff follow regularly,We check quality occasionally but have no system,No quality management system is in place,,5,3,1,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,3,Does your business have a documented sales and marketing strategy?,,mcq,Yes — a written strategy covering multiple sales channels and marketing activities,Yes — a basic written plan for sales,We have an approach but it is not written down,No — we have no defined sales strategy,,5,3,1,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,4,Does your business track competitor activity and market trends regularly?,,mcq,Yes — formal market research conducted regularly and documented,Yes — we monitor competitors and markets occasionally,We are aware of competitors but do not track them formally,No — we do not track competitors or market trends,,5,3,1,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,5,Does your business have a reliable supply chain and supplier relationships?,i.e. you have consistent suppliers and can maintain production without major disruptions,mcq,"Yes — reliable, long-term supplier relationships with backup options",Yes — reliable suppliers but no backup options if they fail,Somewhat reliable — occasional supply disruptions occur,No — supply is inconsistent and unpredictable,,5,3,2,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,6,Does your business have a working capital facility or cash reserve?,i.e. funds available to cover day-to-day operations even if customers are slow to pay,mcq,Yes — a formal working capital facility from a financial institution,Yes — we maintain a cash reserve from profits,Occasionally — cash flow is tight but we manage,No — we often struggle with cash flow between sales,,5,3,1,0,0,Yes,Yes
S03,Operational capacity,operational,45%,40,7,Does your business sell beyond your immediate local area?,,mcq,Yes — we export to international markets,Yes — we sell nationally across Sierra Leone,Yes — we sell in multiple cities or districts,No — we sell only in our immediate local area,,5,4,3,1,0,Yes,Yes
S03,Operational capacity,operational,45%,40,8,Overall operational capacity — which description best fits your business?,Rate 1–5 based on your operational setup,scale,"1 — Limited understanding of operating capacity, no cost structure, no technology","2 — General understanding of capacity, limited ability to improve, MS Word only","3 — Understands capacity and processes, cost structure known, uses MS Excel","4 — Good understanding, has plan to improve productivity, uses advanced tools","5 — Clear plan for operations, logistics and inventory, advanced technology used",1,2,3,4,5,Yes,Yes
S04,Support capacity,support,25%,40,1,How does your business keep its financial records?,⚠ This is the single most important question for your lendability score,mcq,"We use digital accounting software (e.g. QuickBooks, Wave, Sage)",We use Microsoft Excel or Google Sheets,We record finances manually in a book or register,We do not keep formal financial records,,5,3,1,0,0,Yes,Yes
S04,Support capacity,support,25%,40,2,Does your business prepare monthly or quarterly management accounts?,"Management accounts show income, expenses, profit/loss and cash flow for a period",mcq,Yes — formal management accounts prepared every month,Yes — every quarter,Occasionally — but not on a regular schedule,No — we have never prepared management accounts,,5,4,2,0,0,Yes,Yes
S04,Support capacity,support,25%,40,3,Have you ever successfully accessed a loan or financial product from a formal institution?,"Includes bank loans, microfinance, leasing, trade finance, or development finance",mcq,Yes — successfully repaid a loan or currently repaying one,Yes — accessed finance but had difficulties repaying,Applied but was not successful,Never applied for formal finance,,5,2,1,1,0,Yes,Yes
S04,Support capacity,support,25%,40,4,Are your personal finances completely separate from your business finances?,This is a critical corporate governance indicator for lenders,mcq,Yes — completely separate bank accounts and no mixing of funds,Mostly separate — occasional personal use of business funds,Partially — we are working on separating them,No — personal and business money is mixed together,,5,3,2,0,0,Yes,Yes
S04,Support capacity,support,25%,40,5,Does your business have a written HR policy or human resource strategy?,,mcq,Yes — a written HR policy that is actively implemented,Yes — a written policy but not consistently followed,No — we manage HR informally based on common sense,No — we have no HR practices in place,,5,3,1,0,0,Yes,Yes
S04,Support capacity,support,25%,40,6,Does your business have a functioning payroll system for employees?,,mcq,Yes — a digital payroll system that processes salaries automatically,Yes — a manual payroll that is calculated and documented each month,We pay staff informally without a formal payroll,No formal payroll — payment is irregular,,5,3,1,0,0,Yes,Yes
S04,Support capacity,support,25%,40,7,Does your business use any integrated software beyond basic Microsoft Office?,"e.g. accounting software, CRM, inventory management, ERP, project management tools",mcq,Yes — we use multiple integrated software systems for different functions,Yes — we use one integrated software tool,No — we use only Microsoft Office or Google Workspace,No — we do not use any software regularly,,5,3,2,0,0,Yes,Yes
S04,Support capacity,support,25%,40,8,Is your business fully compliant with all relevant regulations?,"e.g. NASSIT contributions, NRA tax payments, business license renewals, sector regulations",mcq,Yes — fully compliant with all regulations and up to date,Mostly compliant — one or two minor outstanding issues,Partially compliant — working to resolve several gaps,No — there are significant compliance issues,,5,3,1,0,0,Yes,Yes
S04,Support capacity,support,25%,40,9,Overall financial management — which description best fits your business?,Rate 1–5 based on current financial management capability,scale,1 — No understanding of financial performance or position. No records kept.,2 — Broad understanding of profit/loss and assets. Some evidence of external funding potential.,3 — Practices some planning and monitoring. No sound financial strategy in place.,4 — Reasonable cost and sales estimation. Monitoring financial resources. Developing funding plan.,5 — Full balance sheet capability. Efficient money management and clear finance strategy.,1,2,3,4,5,Yes,Yes
S05,Final questions,final,0%,0,1,What is your biggest business challenge right now?,,mcq,Access to finance / capital,Finding and keeping good customers,Managing cash flow,Hiring and retaining qualified staff,High operating costs,0,0,0,0,0,Yes,Yes
S05,Final questions,final,0%,0,2,Have you previously received any Technical Assistance or business training?,,mcq,"Yes — formal TA from an international programme (ILO, World Bank, USAID)",Yes — training from a local organisation or NGO,Yes — informal mentoring or coaching,No — this would be my first TA support,,0,0,0,0,0,Yes,Yes
S05,Final questions,final,0%,0,3,Is there anything else you would like the bank or InnovationSL to know about your business?,Optional — this will be included in your diagnostic report,text,,,,,,0,0,0,0,0,No,Yes
S05,Final questions,final,0%,0,4,How did you hear about this diagnostic?,,mcq,From my bank / relationship manager,From InnovationSL directly,From a business association or chamber of commerce,Social media or online,From a colleague or fellow business owner,0,0,0,0,0,Yes,Yes
